Date,Currency,Change
March 8 2000,Australian dollar,8.708503865
March 9 2000,US dollar,0.068894247
March 9 2000,Euro,4.861839804
March 9 2000,Japanese yen,4.807254696
March 9 2000,Pound sterling,2.684563758
March 9 2000,Canadian dollar,1.001908397
March 9 2000,Swiss franc,4.966238292
March 9 2000,Indian rupee,0.276448782
March 9 2000,Chinese renmimbi,0.074900133
March 9 2000,South African rand,4.610707651
March 9 2000,Australian dollar,7.730786721
March 10 2000,US dollar,0
March 10 2000,Euro,5.246589717
March 10 2000,Japanese yen,4.815406039
March 10 2000,Pound sterling,2.852348993
March 10 2000,Canadian dollar,1.001908397
March 10 2000,Swiss franc,5.445436724
March 10 2000,Indian rupee,0.198029213
March 10 2000,Chinese renmimbi,-0.016644474
March 10 2000,South African rand,4.28418623
March 10 2000,Australian dollar,7.480673033
March 13 2000,US dollar,0.137788495
March 13 2000,Euro,5.141657922
March 13 2000,Japanese yen,4.007404137
March 13 2000,Pound sterling,2.964205817
March 13 2000,Canadian dollar,1.216603053
March 13 2000,Swiss franc,5.510781965
March 13 2000,Indian rupee,0.327936377
March 13 2000,Chinese renmimbi,0.116511318
March 13 2000,South African rand,5.393233125
March 13 2000,Australian dollar,7.116871305
March 14 2000,US dollar,-0.516706855
March 14 2000,Euro,4.896817069
March 14 2000,Japanese yen,2.939917807
March 14 2000,Pound sterling,2.796420582
March 14 2000,Canadian dollar,0.763358779
March 14 2000,Swiss franc,5.292964496
March 14 2000,Indian rupee,-0.29942017
March 14 2000,Chinese renmimbi,-0.536784288
March 14 2000,South African rand,4.475595339
March 14 2000,Australian dollar,6.844020009
March 15 2000,US dollar,-0.37891836
March 15 2000,Euro,4.372158097
March 15 2000,Japanese yen,3.544136127
March 15 2000,Pound sterling,2.852348993
March 15 2000,Canadian dollar,1.145038168
March 15 2000,Swiss franc,4.77020257
March 15 2000,Indian rupee,-0.178226292
March 15 2000,Chinese renmimbi,-0.403628495
March 15 2000,South African rand,5.320047289
March 15 2000,Australian dollar,7.139608913
March 16 2000,US dollar,-0.998966586
March 16 2000,Euro,3.287862889
March 16 2000,Japanese yen,3.094793329
March 16 2000,Pound sterling,1.901565996
March 16 2000,Canadian dollar,0.90648855
March 16 2000,Swiss franc,3.637551732
March 16 2000,Indian rupee,-0.816672476
March 16 2000,Chinese renmimbi,-1.023635153
March 16 2000,South African rand,4.340483027
March 16 2000,Australian dollar,7.003183265
March 17 2000,US dollar,-2.204615915
March 17 2000,Euro,2.553340329
March 17 2000,Japanese yen,2.310226539
March 17 2000,Pound sterling,1.006711409
March 17 2000,Canadian dollar,-0.190839695
March 17 2000,Swiss franc,2.918754084
March 17 2000,Indian rupee,-2.04128513
March 17 2000,Chinese renmimbi,-2.201231691
March 17 2000,South African rand,3.400326521
March 17 2000,Australian dollar,6.321055025
March 20 2000,US dollar,-1.550120565
March 20 2000,Euro,3.0779993
March 20 2000,Japanese yen,3.442923615
March 20 2000,Pound sterling,2.06935123
March 20 2000,Canadian dollar,0.143129771
March 20 2000,Swiss franc,3.550424744
March 20 2000,Indian rupee,-1.368777922
March 20 2000,Chinese renmimbi,-1.564580559
March 20 2000,South African rand,4.560040534
March 20 2000,Australian dollar,7.139608913
March 21 2000,US dollar,-1.756803307
March 21 2000,Euro,2.693249388
March 21 2000,Japanese yen,3.525795605
